time,idrobot,robot,message
0.001,4,Atta_4,CONFIG|RECEIVED
0.001,2,Atta_2,CONFIG|RECEIVED
0.002,1,Atta_1,CONFIG|SAVE|1
0.018,2,Atta_2,CONFIG|SAVE|2
0.018,3,Atta_3,CONFIG|SAVE|3
0.018,1,Atta_1,NAV_CONFIG: arena=2400x1750mm
0.018,3,Atta_3,NAV_CONFIG: arena=2400x1750mm
0.018,4,Atta_4,CONFIG|SAVE|4
0.018,4,Atta_4,NAV_CONFIG: arena=2400x1750mm
0.018,2,Atta_2,NAV_CONFIG: arena=2400x1750mm
10.262,3,Atta_3,CHECK_OBSTACLE|2|326.2|72.2|325.0
13.659,3,Atta_3,CHECK_OBSTACLE|2|458.2|11.4|328.5
19.948,2,Atta_2,CHECK_OBSTACLE|4|1226.0|-17.7|308.8
20.967,2,Atta_2,CHECK_OBSTACLE|4|1239.4|-30.6|308.8
22.425,4,Atta_4,CHECK_OBSTACLE|2|423.3|144.2|261.1
24.287,1,Atta_1,CHECK_OBSTACLE|1|90.7|1179.6|142.2
30.947,4,Atta_4,CHECK_OBSTACLE|1|208.8|78.9|177.5
31.965,4,Atta_4,CHECK_OBSTACLE|1|208.8|78.9|177.5
32.18,3,Atta_3,CHECK_OBSTACLE|2|1096.0|291.0|24.9
32.676,1,Atta_1,CHECK_OBSTACLE|1|176.4|1429.8|62.2
33.696,1,Atta_1,CHECK_OBSTACLE|1|192.9|1460.3|61.0
86.222,1,Atta_1,REQUEST_POSITION
86.326,2,Atta_2,REQUEST_POSITION
86.361,2,Atta_2,EKF_POSE|2099.1|39.3|243.9
86.623,3,Atta_3,REQUEST_POSITION
86.654,3,Atta_3,EKF_POSE|1164.7|512.4|264.8
86.767,4,Atta_4,REQUEST_POSITION
86.804,4,Atta_4,EKF_POSE|216.1|239.5|95.3
86.858,2,Atta_2,EKF_POSE|2099.1|39.3|198.9
87.157,3,Atta_3,EKF_POSE|1164.7|512.4|311.3
87.304,4,Atta_4,EKF_POSE|216.1|239.5|50.2
87.362,2,Atta_2,EKF_POSE|2099.1|39.3|130.3
87.653,3,Atta_3,EKF_POSE|1164.7|512.4|7.3
87.797,4,Atta_4,EKF_POSE|216.1|239.5|36.1
87.859,2,Atta_2,EKF_POSE|2099.1|39.3|111.8
88.154,3,Atta_3,EKF_POSE|1164.7|512.4|6.7
88.318,4,Atta_4,EKF_POSE|216.1|239.5|40.2
88.358,2,Atta_2,EKF_POSE|2098.7|40.3|110.2
88.544,3,Atta_3,CHECK_OBSTACLE|2|1152.6|501.7|18.0
88.654,3,Atta_3,EKF_POSE|1176.3|512.9|0.1
88.797,4,Atta_4,EKF_POSE|216.1|239.5|35.3
88.864,2,Atta_2,EKF_POSE|2082.7|87.8|107.4
89.154,3,Atta_3,EKF_POSE|1176.3|512.9|353.0
89.312,4,Atta_4,EKF_POSE|216.1|239.5|34.9
89.359,2,Atta_2,EKF_POSE|2065.9|144.4|105.9
89.654,3,Atta_3,EKF_POSE|985.7|540.5|347.1
89.801,4,Atta_4,EKF_POSE|216.1|239.5|38.7
89.859,2,Atta_2,EKF_POSE|2050.6|201.9|103.9
90.154,3,Atta_3,EKF_POSE|1676.8|348.1|342.0
90.297,4,Atta_4,EKF_POSE|216.1|239.5|34.6
90.358,2,Atta_2,EKF_POSE|2037.6|257.9|103.0
90.655,3,Atta_3,EKF_POSE|1751.9|323.7|337.4
90.798,4,Atta_4,EKF_POSE|216.1|239.5|33.7
90.871,2,Atta_2,EKF_POSE|2036.8|261.5|101.8
91.166,3,Atta_3,EKF_POSE|1751.9|323.7|26.8
91.297,4,Atta_4,EKF_POSE|216.1|239.5|37.8
91.358,2,Atta_2,EKF_POSE|2036.8|261.5|101.0
91.556,2,Atta_2,REQUEST_POSITION
91.655,3,Atta_3,EKF_POSE|1751.9|323.7|33.5
91.802,4,Atta_4,EKF_POSE|216.1|239.5|36.4
91.859,2,Atta_2,EKF_POSE|2020.0|249.1|89.1
92.155,3,Atta_3,EKF_POSE|1751.9|323.7|32.6
92.176,1,Atta_1,REQUEST_POSITION
92.297,4,Atta_4,EKF_POSE|216.1|239.5|34.3
92.358,2,Atta_2,EKF_POSE|2020.0|249.1|59.0
92.657,3,Atta_3,EKF_POSE|1751.9|323.7|30.8
92.811,4,Atta_4,EKF_POSE|216.1|239.5|37.9
92.859,2,Atta_2,EKF_POSE|2020.0|249.1|58.3
93.158,3,Atta_3,EKF_POSE|1751.9|323.7|30.8
93.297,4,Atta_4,EKF_POSE|248.2|265.8|40.7
93.359,2,Atta_2,EKF_POSE|2033.2|270.0|57.3
93.655,3,Atta_3,EKF_POSE|1751.9|323.7|37.4
93.798,4,Atta_4,EKF_POSE|291.8|305.3|43.3
93.861,2,Atta_2,EKF_POSE|2065.8|320.8|56.6
94.154,3,Atta_3,EKF_POSE|1751.9|323.7|32.7
94.297,4,Atta_4,EKF_POSE|336.1|347.7|44.9
94.359,2,Atta_2,EKF_POSE|2099.1|370.4|56.2
94.654,3,Atta_3,EKF_POSE|1751.9|323.7|31.9
94.798,4,Atta_4,EKF_POSE|377.1|391.0|47.9
94.859,2,Atta_2,EKF_POSE|2106.7|381.8|56.7
95.155,3,Atta_3,EKF_POSE|1751.9|323.7|35.9
95.298,4,Atta_4,EKF_POSE|396.2|412.2|48.6
95.362,2,Atta_2,EKF_POSE|2106.7|381.8|56.4
95.513,2,Atta_2,REQUEST_POSITION
95.632,1,Atta_1,REQUEST_POSITION
95.667,3,Atta_3,EKF_POSE|1775.5|339.0|32.2
95.797,4,Atta_4,EKF_POSE|396.2|412.2|49.8
95.826,4,Atta_4,REQUEST_POSITION
95.858,2,Atta_2,EKF_POSE|2093.4|387.7|59.6
96.165,3,Atta_3,EKF_POSE|1827.6|369.8|29.1
96.301,4,Atta_4,EKF_POSE|488.5|254.3|55.2
96.37,2,Atta_2,EKF_POSE|2093.4|387.7|59.4
96.656,3,Atta_3,EKF_POSE|1876.3|396.0|27.3
96.798,4,Atta_4,EKF_POSE|488.5|254.3|61.7
96.856,1,Atta_1,CHECK_OBSTACLE|4|1152.9|1345.5|343.4
96.86,2,Atta_2,EKF_POSE|2093.4|387.7|59.3
97.158,3,Atta_3,EKF_POSE|1882.3|399.0|24.3
97.298,4,Atta_4,EKF_POSE|488.5|254.3|59.7
97.36,2,Atta_2,EKF_POSE|2093.4|387.7|59.1
97.561,3,Atta_3,REQUEST_POSITION
97.665,3,Atta_3,EKF_POSE|1457.1|744.1|74.7
97.817,4,Atta_4,EKF_POSE|488.5|254.3|62.3
97.859,2,Atta_2,EKF_POSE|2093.4|387.7|59.0
97.866,1,Atta_1,CHECK_OBSTACLE|4|1199.8|1335.6|343.4
98.154,3,Atta_3,EKF_POSE|1457.1|744.1|20.9
98.298,4,Atta_4,EKF_POSE|488.5|254.3|64.3
98.359,2,Atta_2,EKF_POSE|2093.4|387.7|58.9
98.654,3,Atta_3,EKF_POSE|1457.1|744.1|318.7
98.798,4,Atta_4,EKF_POSE|488.5|254.3|60.2
98.859,2,Atta_2,EKF_POSE|2093.4|387.7|58.8
99.156,3,Atta_3,EKF_POSE|1457.1|744.1|318.4
99.299,4,Atta_4,EKF_POSE|509.9|289.0|57.4
99.358,2,Atta_2,EKF_POSE|2093.4|387.7|58.7
99.655,3,Atta_3,EKF_POSE|1457.1|744.1|318.5
99.798,4,Atta_4,EKF_POSE|542.6|336.7|53.5
99.864,2,Atta_2,EKF_POSE|2093.4|387.7|58.6
100.156,3,Atta_3,EKF_POSE|1457.1|744.1|322.2
100.305,4,Atta_4,EKF_POSE|579.0|384.4|51.6
100.358,2,Atta_2,EKF_POSE|2093.4|387.7|58.5
100.655,3,Atta_3,EKF_POSE|1457.1|744.1|317.4
100.801,4,Atta_4,EKF_POSE|617.6|431.6|49.5
100.858,2,Atta_2,EKF_POSE|2093.4|387.7|58.4
101.157,3,Atta_3,EKF_POSE|1457.1|744.1|315.4
101.298,4,Atta_4,EKF_POSE|637.3|454.1|48.0
101.358,2,Atta_2,EKF_POSE|2093.4|387.7|58.3
101.66,3,Atta_3,EKF_POSE|1457.1|744.1|319.9
101.817,4,Atta_4,EKF_POSE|637.3|454.1|46.5
101.818,4,Atta_4,REQUEST_POSITION
101.859,2,Atta_2,EKF_POSE|2093.4|387.7|58.3
102.155,3,Atta_3,EKF_POSE|1492.4|716.7|323.6
102.299,4,Atta_4,EKF_POSE|674.9|463.2|46.0
102.359,2,Atta_2,EKF_POSE|2093.4|387.7|58.3
102.657,3,Atta_3,EKF_POSE|1543.8|681.6|327.8
102.799,4,Atta_4,EKF_POSE|716.9|506.1|44.9
102.86,2,Atta_2,EKF_POSE|2093.4|387.7|58.3
103.155,3,Atta_3,EKF_POSE|1594.5|651.8|331.0
103.301,4,Atta_4,EKF_POSE|758.7|547.5|44.7
103.344,3,Atta_3,CHECK_OBSTACLE|2|1155.6|529.5|339.6
103.358,2,Atta_2,EKF_POSE|2093.4|387.7|58.2
103.658,3,Atta_3,EKF_POSE|1613.4|641.4|332.1
103.813,4,Atta_4,EKF_POSE|801.5|590.2|45.0
103.817,1,Atta_1,REQUEST_POSITION
103.858,2,Atta_2,EKF_POSE|2093.4|387.7|58.2
104.176,3,Atta_3,EKF_POSE|1613.4|641.4|334.7
